Listing ID,Listing URL,Brand,Price,Depreciation,Road Tax,Registration Date,COE Left,Mileage,Manufacture Year,Transmission,Deregistration,OMV,ARF,COE Price,Engine Capacity,Power,Curb Weight,No. Of Owners,Vehicle Type
1196765,https://www.sgcarmart.com/used_cars/info.php?ID=1196765,Volkswagen,31998,12980,806,9-Jun-11,887,155000,2011,Auto,10196,25187,25187,20699,1390,118,1285,6,Sports Car
1184710,https://www.sgcarmart.com/used_cars/info.php?ID=1184710,Volkswagen,31998,12930,806,4-Apr-11,880,145538,2010,Auto,10449,22056,22056,21142,1390,118,1377,2,Mid-Sized Sedan
1235503,https://www.sgcarmart.com/used_cars/info.php?ID=1235503,Audi,32500,18950,1672,5-Jul-10,611,153110,2010,Auto,5748,38886,38886,16784,1984,155,1740,3,SUV
1185521,https://www.sgcarmart.com/used_cars/info.php?ID=1185521,Audi,32800,16830,624,14-Apr-15,515,138000,2014,Auto,18443,27195,15073,67749,1395,92,1310,3,Luxury Sedan
1230844,https://www.sgcarmart.com/used_cars/info.php?ID=1230844,Kia,32800,21190,1634,18-Sep-14,34,156000,2014,Auto,18923,24373,26123,63001,2359,127,1580,3,Luxury Sedan
1224108,https://www.sgcarmart.com/used_cars/info.php?ID=1224108,Kia,32800,12440,959,2-Jun-11,949,118000,2010,Auto,11932,12704,12704,22636,1591,92.7,1251,3,Mid-Sized Sedan
1223843,https://www.sgcarmart.com/used_cars/info.php?ID=1223843,Kia,32800,12870,959,25-May-11,916,140000,2011,Auto,10762,12654,12654,21142,1591,91.1,1261,4,Mid-Sized Sedan
1202070,https://www.sgcarmart.com/used_cars/info.php?ID=1202070,Mercedes-Benz,32800,21600,740,15-Oct-14,365,111000,2014,Auto,19510,28689,22165,72990,1595,115,1435,2,SUV
1197783,https://www.sgcarmart.com/used_cars/info.php?ID=1197783,Nissan,32800,13530,684,29-Sep-15,399,88600,2015,Manual,18061,12506,12506,57089,1498,73,1005,2,Mid-Sized Sedan
1208047,https://www.sgcarmart.com/used_cars/info.php?ID=1208047,Peugeot,32800,14510,720,28-Jul-15,638,102000,2015,Auto,18424,22633,13687,61000,1560,84,1520,1,MPV
1200622,https://www.sgcarmart.com/used_cars/info.php?ID=1200622,Volkswagen,32800,15130,620,25-Jun-15,605,92000,2015,Auto,19005,19204,14204,66000,1390,90,1245,3,Sports Car
1233251,https://www.sgcarmart.com/used_cars/info.php?ID=1233251,Volkswagen,32800,14120,508,27-Oct-15,732,127293,2015,Auto,16487,18038,8038,57301,1197,77,1229,2,Hatchback
1217173,https://www.sgcarmart.com/used_cars/info.php?ID=1217173,Volvo,32800,16350,742,29-Jan-15,460,108000,2014,Auto,22372,25876,23227,76904,1596,132,1438,2,Hatchback
1221682,https://www.sgcarmart.com/used_cars/info.php?ID=1221682,Volkswagen,32998,14570,624,25-Sep-15,395,125997,2015,Auto,16158,19158,9158,57089,1395,90,1249,3,Hatchback
1231721,https://www.sgcarmart.com/used_cars/info.php?ID=1231721,Honda,33000,12910,767,4-May-11,919,70500,2009,Auto,11270,19331,19331,22069,1339,73,1090,3,Hatchback
1239445,https://www.sgcarmart.com/used_cars/info.php?ID=1239445,Mercedes-Benz,33339,30740,740,29-May-14,215,77077,2014,Auto,18763,33057,28280,74002,1595,115,1430,2,Luxury Sedan
1229592,https://www.sgcarmart.com/used_cars/info.php?ID=1229592,BMW,33600,18000,684,10-Feb-15,461,74000,2014,Auto,20052,26690,19366,70890,1499,100,1360,1,Hatchback
1239670,https://www.sgcarmart.com/used_cars/info.php?ID=1239670,Ford,33800,12530,742,29-Oct-15,735,133094,2015,Auto,21536,16374,16374,57301,1596,92,1490,2,Mid-Sized Sedan
