Price,Road Tax,COE Left,Mileage,OMV,COE Price,Curb Weight,No. Of Owners
80000,682,1493,46331,18085,30209,1331,0.0
123999,586,1984,54510,30464,35403,1365,0.6931471805599453
94800,578,2557,41000,16040,35990,1030,0.0
36800,684,761,57800,15479,57301,1046,1.3862943611198906
109966,1194,1951,100000,26353,36961,1700,0.0
112800,1792,943,83000,41257,49156,2030,0.0
97800,2362,551,113000,70479,79500,2030,0.6931471805599453
87800,1552,2198,173000,53848,32914,1735,1.791759469228055
95800,1792,761,87056,37196,61103,2020,0.0
57800,1212,1001,103771,21578,47000,1540,1.0986122886681098
79888,1792,944,78680,40884,49156,1615,1.0986122886681098
155800,586,2225,40000,35756,40009,1420,0.6931471805599453
122800,1210,2622,51200,20941,41503,1514,0.0
60000,1212,767,93584,18461,55501,1540,0.6931471805599453
152800,2920,1831,83000,42440,31301,1780,0.0
118000,682,2646,25561,21197,40556,1191,0.0
179800,2382,1313,61345,90326,54405,1940,0.6931471805599453
67800,578,1674,60736,14877,38001,1030,0.0
173800,1176,2684,38224,28666,46002,1695,0.0
179800,1202,2223,129973,55977,34000,1615,0.0
59800,3543,1282,119153,56212,52008,1615,1.791759469228055
235800,3375,3198,53018,91008,97176,1425,1.0986122886681098
43800,508,641,73016,19795,55889,1222,0.6931471805599453
20000,958,551,159000,11729,16438,1075,0.6931471805599453
109800,1792,1008,90000,35329,58201,1980,0.6931471805599453
13800,826,32,185387,13130,15287,1030,1.6094379124341003
31800,742,576,46718,19589,68589,1205,0.6931471805599453
40800,682,975,89000,16546,55200,1321,1.0986122886681098
30800,744,584,97800,14976,66590,1360,0.0
319800,1210,3468,5580,62502,124501,1645,0.0
83888,1210,1832,50000,21051,32429,1290,0.0
103800,1210,1528,38000,37274,54334,1620,0.6931471805599453
93800,682,1976,49978,22254,25501,1200,0.0
48777,684,1004,78000,22664,53000,1450,0.6931471805599453
77800,738,1466,75862,14571,31997,1345,0.0
93800,742,1885,69000,19964,25556,1249,0.0
68000,976,1245,133000,19955,50621,1360,0.0
143800,1210,1833,63000,45907,31301,1540,0.0
56800,1210,1005,52000,20747,49700,1535,0.6931471805599453
29800,508,610,110000,20285,66000,1150,1.6094379124341003
40800,70,1000,55515,19355,36000,1188,0.0
133800,5938,2742,97003,97250,47316,1940,1.0986122886681098
78000,608,1828,87000,9101,31917,1115,0.0
111800,682,2736,30270,23419,42000,1190,0.0
74800,2700,1859,136000,37374,32121,1625,1.791759469228055
48800,508,971,130000,18689,55200,1285,0.0
88888,1630,1215,91000,29738,48209,1769,0.6931471805599453
72777,910,1283,117000,28074,53001,1320,0.6931471805599453
47000,1800,273,121000,46806,65002,1640,0.6931471805599453
99000,3335,2462,135000,88183,32914,1850,1.0986122886681098
57800,624,1001,77000,25046,56000,1288,0.6931471805599453
199800,4988,913,123980,142635,54920,2015,0.6931471805599453
52800,70,1646,37000,14015,20000,940,0.6931471805599453
68800,1039,2282,149000,17853,32368,1195,1.0986122886681098
145800,1194,1098,115000,63559,56340,1845,0.6931471805599453
79800,976,1528,125000,19955,57414,1355,0.0
312800,7584,2830,42000,222743,57955,1500,1.791759469228055
