Brand,Price,Depreciation,Road Tax,Registration Date,COE Left,Mileage,Manufacture Year,Transmission,Deregistration,OMV,ARF,COE Price,Engine Capacity,Power,Curb Weight,No. Of Owners,Vehicle Type
Opel,96388,14960,508,25-Jan-2019,1919,48700,2018,Auto,39244,30227,34318,25501,1199,96.0,1295,1,SUV
Lexus,162999,19990,1198,16-Oct-2020,2560,33800,2019,Auto,62786,38133,45387,41001,1987,127.0,1485,2,SUV
Land,132999,22580,1210,23-May-2018,1672,77000,2018,Auto,57381,46683,57357,38389,1997,177.0,1953,2,SUV
Volkswagen,42800,17930,624,27-Nov-2015,766,74500,2015,Auto,18113,19158,9158,59200,1395,90.0,1249,1,Hatchback
Mazda,54800,15380,682,28-Oct-2016,1102,86700,2016,Auto,25826,20579,15811,50991,1496,88.0,1321,1,Mid-Sized Sedan
Honda,66999,13890,578,24-May-2018,1673,79500,2018,Auto,21455,15559,5559,38001,1317,73.0,1030,1,Hatchback
Volvo,67777,15840,1176,28-Feb-2017,1222,63000,2016,Auto,35501,25901,28262,51000,1969,140.0,1470,1,Hatchback
Volkswagen,69800,17100,620,19-Dec-2016,1163,67761,2016,Auto,34537,27452,30433,46229,1390,118.0,1551,1,SUV
Honda,62800,15400,682,13-Jul-2017,1367,89260,2016,Auto,22541,19945,9945,42801,1496,96.0,1190,1,SUV
Toyota,58800,20000,1196,04-Feb-2016,824,97334,2015,Auto,27635,26990,24786,55001,1986,111.0,1610,1,SUV
Audi,75800,18710,624,30-Dec-2016,1164,73000,2016,Auto,37231,27876,31027,54901,1395,110.0,1480,2,SUV
Honda,78888,12790,578,12-Sep-2019,1856,61000,2019,Auto,23558,16192,6192,31917,1317,73.0,1030,2,Hatchback
Mercedes-Benz,85800,13960,1364,05-Feb-2010,2220,134318,2009,Auto,24046,47161,47161,39129,1796,150.0,1580,4,Sports Car
BMW,279888,29610,1210,30-Nov-2021,2959,25000,2021,Auto,123830,58694,77650,88000,1998,185.0,1760,1,SUV
Mitsubishi,68888,12960,1815,10-Feb-2009,1916,103000,2008,Auto,16655,24721,8507,31335,1998,114.0,1427,2,Mid-Sized Sedan
BMW,77800,20560,1210,13-May-2016,942,121000,2016,Auto,42692,40816,49143,51010,1997,135.0,1615,1,Luxury Sedan
Honda,82988,14260,682,05-Apr-2019,1980,40200,2018,Auto,21741,19482,9482,26659,1496,97.0,1130,2,Stationwagon
Suzuki,50800,9560,1104,10-Feb-2009,1916,162000,2008,Auto,13844,15079,5761,26047,1586,75.0,1205,4,Mid-Sized Sedan
BMW,43800,16600,684,16-Sep-2015,400,108000,2015,Auto,24878,25995,23393,62101,1499,100.0,1360,1,Hatchback
